0,Sacramento,1/25/06 9:00,2787 ALTOS AVE,2,2B,552,484 PETTY THEFT/LICENSE PLATE,2399,-121.4484897,38.61833093
1,New York,11/20/07 8:00,1006 FLORIN RD,3,3A,709,THREATS - I RPT,7000,-40.4231443,74.51639588
2,Boston,4/6/07 0:00,12TH ST / L ST,6,6A,1013,TRAFFIC-ACCIDENT-NON INJURY,5400,-42.4794029,71.57369871
3,Los Angeles,4/6/11 11:00,2534 DEL PASO BLVD,6,6A,1032,10851(A)VC TAKE VEH W/O OWNER,2404,-34.4692389,118.54913129
4,New York,2/18/09 8:00,FRUITRIDGE RD / SAMPSON BLVD,2,2C,603,ACCIDENTAL FIRES/ARSON -I RPT,7000,-40.4538401,74.54675579
5,Los Angeles,5/15/07 13:30,5727 GILGUNN WAY,3,3C,855,TOWED/STORED VEH-14602.6,7000,-34.4352683,118.56418305
6,Chicago,8/20/07 1:00,815 L ST,5,5C,1605,MISCELLANEOUS I RPT (ZMISC),7000,-41.479014,87.53881527
7,Chicago,10/11/05 1:00,1919 19TH ST,1,1A,113,TOWED/STORED VEHICLE,7000,-41.483187,87.63026551
8,Chicago,5/25/05 15:00,1723 BOWLING GREEN DR,6,6C,1132,459 PC  BURGLARY VEHICLE,2299,-41.4722717,87.55464254
9,Boston,1/27/12 13:30,ELDER CREEK RD / FLORIN PERKINS RD,2,2A,215,10851(A)VC TAKE VEH W/O OWNER,2404,-42.4985289,71.49463972
10,Sacramento,9/11/09 2:30,1180 35TH AVE,4,4C,1227,459 PC  BURGLARY BUSINESS,2203,-121.5130396,38.52075518
11,Chicago,4/2/11 16:45,ALHAMBRA BLVD / GRANADA WAY,2,2B,563,459 PC  BURGLARY VEHICLE,2299,-41.4516767,87.56438552
12,Los Angeles,3/26/07 20:15,US 50 EB / 59TH ST,3,3C,874,5150 WI DANGER SELF/OTHERS,7000,-34.4736865,118.57381016
13,Los Angeles,2/8/12 11:00,DOS RIOS ST / SITKA ST,5,5A,1512,TOWED/STORED VEH-14602.6,7000,-34.4753422,118.5393973
14,Chicago,1/25/05 13:30,731 SAN JUAN RD,6,6A,1051,SUSP PERS-NO CRIME - I RPT,7000,-41.4262201,87.53899388
15,Chicago,3/20/06 3:45,7646 NIXOS WY,2,2B,526,MISSING PERSON,7000,-41.4091682,87.53234249
16,Boston,1/6/06 11:00,STOCKTON BLVD / MASSIE CT,2,2A,509,459 PC  BURGLARY RESIDENCE,2204,-42.4647617,71.53952458
17,Los Angeles,11/1/09 8:00,729 L ST,2,2C,606,459 PC  BURGLARY RESIDENCE,2204,-34.4597918,118.63768815
18,Boston,8/7/12 18:30,1731 ARVILLA DR,4,4B,969,484 PC PETTY THEFT,2399,-42.4949736,71.47415053
19,Boston,11/3/12 0:00,SAN FERNANDO WAY / 2ND AVE,1,1C,405,TOWED/STORED VEH-14602.6,7000,-42.4425904,71.52497346
20,Boston,1/1/09 18:30,198 EL CAMINO AVE,4,4B,1326,242 PC  BATTERY CIVILIAN,1313,-42.4919771,71.55905282
21,Los Angeles,3/6/09 3:45,6000 J ST,1,1C,449,484 PETTY THEFT/LICENSE PLATE,2399,-34.4355908,118.47345298
22,Chicago,5/3/05 8:00,LAS PALMAS AVE / BELDEN ST,5,5A,1363,459 PC  BURGLARY RESIDENCE,2204,-41.5101062,87.51426513
23,Boston,2/5/09 9:15,1412 BREWERTON DR,4,4C,1255,487(A) PC GRAND THEFT,2303,-42.4618898,71.57357744
24,Sacramento,1/18/06 22:48,715 L ST,3,3M,742,5150 WI DANGER SELF/OTHERS,7000,-121.4976906,38.57905171
25,Los Angeles,4/15/06 11:00,7657 WALSH WAY,1,1C,429,484 PETTY THEFT-SHOPLIFT,2303,-34.4523277,118.55612056
26,Sacramento,1/20/07 9:15,91 PETRILLI CIR,4,4C,1225,459 PC  BURGLARY VEHICLE,2299,-121.5199334,38.52215421
27,Los Angeles,7/6/11 15:00,8231 ALPINE AVE,3,3A,701,10851(A)VC TAKE VEH W/O OWNER,2404,-34.4971148,118.62698775
28,Chicago,2/8/12 15:00,800 17TH ST,3,3C,801,1551(A) FUGITIVE FROM JUSTICE,4902,-41.4883531,87.47334706
29,Sacramento,12/26/06 9:15,6637 VALLEY HI DR,5,5C,1623,484G(B) PC ACCESS CARD FRAUD,2605,-121.429528,38.47157245
30,Sacramento,12/15/10 15:00,1640 PEBBLEWOOD DR,1,1B,424,10851(A)VC TAKE VEH W/O OWNER,2404,-121.4990928,38.62098272
31,Boston,6/12/08 8:00,CHESTNUT HILL DR / NOTRE DAME DR,3,3B,767,TOWED/STORED VEH-14602.6,7000,-42.4196758,71.4748515
32,Boston,7/6/09 15:00,809 UNION ST,6,6C,1443,530.5 PC USE PERSONAL ID INFO,2604,-42.4723384,71.55555724
33,Boston,9/2/09 20:15,2840 14TH AVE,3,3B,748,484 PC   PETTY THEFT/INSIDE,2308,-42.4705214,71.53273565
34,Los Angeles,2/27/08 13:30,MARCONI CIR / NAOMI WAY,5,5C,1624,484 PETTY THEFT-SHOPLIFT,2303,-34.5052701,118.58221746
35,Los Angeles,9/7/06 8:00,2630 NORTHGATE BLVD,2,2B,552,459 PC  BURGLARY BUSINESS,2203,-34.4923547,118.55218963
36,Boston,10/25/10 2:30,BROOKFIELD DR / FRANKLIN BLVD,4,4A,918,NON INJ HR/MAIL OUT REPORT,7000,-42.4569973,71.46728652
37,New York,6/7/11 20:15,3224 44TH ST,2,2B,558,10851(A)VC TAKE VEH W/O OWNER,2404,-40.5051808,74.49221076
38,Boston,3/4/11 2:30,1708 59TH ST,2,2C,606,451(D) PC  ARSON OF PROPERTY,2099,-42.5212972,71.50539044
39,Chicago,1/11/10 8:00,3433 TAYLOR ST,1,1C,447,211 PC ROBBERY- BUSINESS,1299,-41.4566539,87.54871866
40,Los Angeles,8/5/12 20:15,5400 LOWELL ST,3,3M,745,10851(A)VC TAKE VEH W/O OWNER,2404,-34.5556894,118.65550746
41,Boston,5/7/09 2:30,2937 N MEADOWS PL,6,6B,1402,459 PC  BURGLARY VEHICLE,2299,-42.5126595,71.49451616
